identifier,mean:ALCOHOL_s1[PPM],max:ALCOHOL_s1[PPM],crvElevation:ALCOHOL_s1[PPM],prmElevation:ALCOHOL_s1[PPM],mean:dx(ALCOHOL_s1[PPM]),max:dx(ALCOHOL_s1[PPM]),crvElevation:dx(ALCOHOL_s1[PPM]),prmElevation:dx(ALCOHOL_s1[PPM]),mean:METANO_s1[PPM],max:METANO_s1[PPM],crvElevation:METANO_s1[PPM],prmElevation:METANO_s1[PPM],mean:dx(METANO_s1[PPM]),max:dx(METANO_s1[PPM]),crvElevation:dx(METANO_s1[PPM]),prmElevation:dx(METANO_s1[PPM]),mean:ALCOHOL_s2[PPM],max:ALCOHOL_s2[PPM],crvElevation:ALCOHOL_s2[PPM],prmElevation:ALCOHOL_s2[PPM],mean:dx(ALCOHOL_s2[PPM]),max:dx(ALCOHOL_s2[PPM]),crvElevation:dx(ALCOHOL_s2[PPM]),prmElevation:dx(ALCOHOL_s2[PPM]),mean:MONOXIDO DE CARBONO_S2[PPM],max:MONOXIDO DE CARBONO_S2[PPM],crvElevation:MONOXIDO DE CARBONO_S2[PPM],prmElevation:MONOXIDO DE CARBONO_S2[PPM],mean:dx(MONOXIDO DE CARBONO_S2[PPM]),max:dx(MONOXIDO DE CARBONO_S2[PPM]),crvElevation:dx(MONOXIDO DE CARBONO_S2[PPM]),prmElevation:dx(MONOXIDO DE CARBONO_S2[PPM]),tamaño[cm],prom:temperatura,prom:humedad,categoria
0,15.112444444444446,15.91,2.2200000000000006,1.4224444444444462,0.0245555555555555,0.1499999999999994,0.1499999999999994,0.0245555555555555,1494.9253333333334,1546.54,93.49,41.8753333333334,1.0286666666666684,7.875,16.164999999999964,9.318666666666632,7.420111111111112,7.57,0.2300000000000004,0.0801111111111119,0.0018888888888888,0.06,0.0899999999999998,0.0318888888888886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.52528735632184,15.333333333333334,1
1,18.524,20.44,5.090000000000002,3.1740000000000013,0.0564444444444443,0.2199999999999997,0.2699999999999995,0.1064444444444442,1525.5761111111112,1590.55,114.48000000000002,49.506111111111295,1.3176666666666657,8.434999999999945,9.9849999999999,2.86766666666662,7.492555555555555,7.71,0.3499999999999996,0.1325555555555544,0.0032222222222222,0.04,0.04,0.0032222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,33.59333333333334,15.2,6
2,19.57433333333333,24.56,9.4,4.414333333333332,0.1043888888888888,0.3249999999999993,0.3549999999999986,0.1343888888888881,1556.679666666667,1679.91,206.5,83.26966666666681,2.268777777777776,7.215000000000032,8.149999999999977,3.203777777777721,7.565,7.9,0.5100000000000007,0.1750000000000007,0.0048333333333333,0.04,0.0499999999999997,0.014833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,34.19111111111111,15.0,7
3,19.70733333333333,23.49,7.609999999999998,3.82733333333333,0.0828888888888888,0.25,0.5900000000000016,0.4228888888888904,2242.7601111111107,2448.0,285.1100000000001,79.87011111111087,2.941444444444447,23.569999999999936,68.88999999999965,48.26144444444416,9.329,9.8,0.5700000000000003,0.0989999999999984,0.0045555555555555,0.0700000000000002,0.3200000000000002,0.2545555555555555,12.707,13.26,0.5899999999999999,0.036999999999999,0.0020555555555555,0.1399999999999996,0.6799999999999987,0.5420555555555547,16.7,32.63333333333333,13.11111111111111,7
4,15.791888888888888,17.35,3.770000000000002,2.211888888888888,0.0402777777777777,0.3250000000000002,0.4950000000000001,0.2102777777777776,1952.4065555555555,2020.52,123.93000000000006,55.81655555555562,1.172722222222223,23.979999999999905,46.589999999999804,23.782722222222123,8.59211111111111,8.75,0.0600000000000005,-0.0978888888888889,-0.0010555555555555,0.0550000000000006,0.3050000000000006,0.2489444444444444,11.398,11.66,0.08,-0.1820000000000003,-0.0092777777777778,0.25,1.0299999999999994,0.7707222222222215,18.5,32.88777777777778,14.166666666666666,6
5,14.208000000000002,14.41,0.8200000000000003,0.6180000000000021,0.0065555555555555,0.2099999999999999,0.1100000000000003,-0.093444444444444,1888.530555555556,1904.34,22.86999999999989,7.060555555555538,0.2246111111111089,5.770000000000096,3.380000000000224,-2.165388888888764,8.461,8.59,0.0,-0.1289999999999995,-0.0021666666666666,0.04,0.2000000000000001,0.1578333333333334,11.356777777777776,11.64,0.0,-0.2832222222222231,-0.0030555555555555,0.5499999999999998,1.0599999999999996,0.5069444444444442,15.5,33.14285714285713,13.928571428571429,1
6,18.53533333333333,21.94,9.000000000000002,5.595333333333334,0.0998888888888888,0.2349999999999994,0.2649999999999987,0.1298888888888882,1969.4233333333327,2131.84,251.33000000000013,88.91333333333341,2.6892222222222246,10.024999999999975,31.79499999999996,24.45922222222221,8.664444444444444,9.06,0.450000000000001,0.054444444444444,0.0037777777777777,0.0899999999999998,0.3099999999999986,0.2237777777777765,11.71277777777778,12.39,0.6300000000000008,-0.0472222222222207,0.0026111111111111,0.3049999999999997,1.0649999999999995,0.7626111111111109,15.9,33.50333333333334,14.811111111111112,7
7,14.596000000000002,15.07,0.5500000000000007,0.0760000000000022,-0.0012777777777777,0.1000000000000005,0.1100000000000002,0.0087222222222219,1928.4066666666668,2013.73,0.0,-85.32333333333327,-1.0935555555555576,6.709999999999923,33.65999999999997,25.856444444444488,8.557444444444442,8.85,0.0,-0.2925555555555572,-0.0045,0.0499999999999998,0.2299999999999994,0.1754999999999996,11.724888888888891,12.23,0.0,-0.5051111111111091,-0.0081666666666666,0.1349999999999998,0.7249999999999996,0.5818333333333332,16.0,33.87777777777777,14.666666666666666,1
8,15.03,16.99,4.729999999999999,2.7700000000000014,0.0524444444444444,0.1749999999999998,0.1249999999999991,0.0024444444444437,1840.834888888889,1909.77,100.38999999999989,31.454888888888945,0.8547222222222229,8.295000000000073,24.5150000000001,17.07472222222225,8.342555555555556,8.53,0.1399999999999988,-0.0474444444444444,-2.5481160391570432e-17,0.04,0.2300000000000012,0.1900000000000011,11.147333333333334,11.46,0.3200000000000003,0.0073333333333334,-0.0007777777777777,0.1399999999999996,0.6299999999999998,0.4892222222222224,20.0,34.22368421052632,14.763157894736842,6
9,14.941333333333334,16.22,3.0799999999999983,1.801333333333334,0.0342222222222221,0.1499999999999994,0.1200000000000001,0.0042222222222228,1843.365777777778,1907.58,102.16999999999985,37.95577777777794,1.1049444444444412,10.110000000000014,17.750000000000114,8.744944444444542,8.350555555555557,8.57,0.1400000000000005,-0.0794444444444426,-0.0009444444444444,0.0549999999999997,0.2949999999999999,0.2390555555555557,11.244777777777776,11.53,0.2199999999999988,-0.0652222222222231,-0.0031666666666666,0.2000000000000001,0.9000000000000011,0.6968333333333344,16.0,34.473333333333336,14.266666666666667,6
10,16.313666666666666,17.11,2.709999999999999,1.913666666666666,0.0276111111111111,0.4299999999999997,0.3399999999999999,-0.0623888888888886,2138.665333333333,2213.35,165.93999999999983,91.25533333333284,1.563499999999999,27.340000000000032,27.72000000000014,1.943500000000108,9.074333333333335,9.3,0.3500000000000014,0.124333333333336,0.0022222222222222,0.0899999999999998,0.2199999999999988,0.1322222222222212,12.645,13.07,0.4700000000000006,0.0450000000000017,-0.0005555555555555,0.3799999999999999,1.1499999999999997,0.769444444444444,15.0,34.71555555555556,14.27777777777778,1
11,26.308000000000003,35.21,20.12,11.218000000000004,0.2198888888888889,0.5400000000000009,0.6699999999999999,0.3498888888888879,2383.622777777778,2834.7,741.6099999999997,290.53277777777794,8.048333333333332,25.58999999999992,33.950000000000045,16.40833333333346,9.636222222222225,10.65,1.4800000000000004,0.466222222222223,0.0144999999999999,0.08,0.1799999999999996,0.1144999999999995,13.444555555555558,14.9,1.9800000000000004,0.5245555555555583,0.0153888888888888,0.1500000000000003,0.9800000000000004,0.845388888888889,16.4,34.849999999999994,13.22222222222222,7
12,17.09177777777778,17.35,0.9200000000000016,0.6617777777777789,0.0047222222222222,0.1550000000000011,0.2250000000000013,0.0747222222222224,2204.272,2269.07,0.0,-64.79800000000023,-0.9564444444444462,18.975000000000136,38.40500000000043,18.473555555555844,9.251444444444443,9.54,0.0,-0.2885555555555541,-0.0048333333333333,0.0449999999999999,0.2049999999999982,0.1551666666666649,12.966888888888889,13.39,0.0,-0.4231111111111119,-0.0085555555555555,0.1200000000000001,0.660000000000001,0.5314444444444454,17.0,32.997727272727275,14.590909090909092,1
13,18.11122222222222,20.7,4.809999999999999,2.22122222222222,0.049611111111111,0.1999999999999993,0.2200000000000005,0.0696111111111123,2168.8656666666666,2260.65,68.01000000000022,-23.77433333333329,0.480000000000003,17.035000000000082,18.53500000000008,1.980000000000003,9.158555555555552,9.42,0.0199999999999995,-0.241444444444447,-0.0028333333333333,0.0550000000000006,0.2750000000000012,0.2171666666666672,12.826999999999998,13.41,0.0,-0.583000000000002,-0.0099444444444444,0.205,1.1850000000000005,0.970055555555556,16.4,32.59555555555555,14.755555555555556,6
14,26.94255555555556,35.54,18.92,10.32255555555556,0.211611111111111,0.5150000000000006,0.3650000000000021,0.0616111111111125,2350.3644444444444,2793.02,630.2199999999998,187.56444444444423,6.948444444444438,27.220000000000027,20.65000000000032,0.378444444444729,9.562333333333331,10.54,1.2199999999999989,0.242333333333331,0.0123333333333333,0.08,0.2699999999999995,0.2023333333333328,13.370000000000005,14.73,1.5300000000000011,0.1700000000000034,0.0133888888888888,0.205,0.9249999999999988,0.7333888888888878,15.9,32.65365853658536,14.75609756097561,7
15,16.173,16.79,0.9599999999999992,0.3429999999999982,0.001,0.205,0.1050000000000003,-0.0989999999999996,2133.2582222222222,2187.63,6.5900000000001455,-47.78177777777773,-0.5284999999999981,7.205000000000155,0.6150000000000091,-7.118500000000144,9.085333333333333,9.41,0.0,-0.3246666666666673,-0.0054444444444444,0.0649999999999995,0.2949999999999999,0.2245555555555559,12.580888888888886,13.02,0.0,-0.4391111111111136,-0.0089444444444444,0.2450000000000001,1.0149999999999997,0.7610555555555552,16.8,32.79555555555556,15.244444444444444,1
16,31.982222222222223,40.27,26.03,17.742222222222225,0.2892222222222222,0.7799999999999994,0.789999999999999,0.2992222222222219,2643.1744444444444,3373.67,1324.98,594.4844444444443,14.611166666666668,35.950000000000045,66.5300000000002,45.19116666666682,10.168666666666669,11.64,2.67,1.198666666666666,0.0284444444444443,0.1150000000000002,0.2950000000000017,0.2084444444444458,14.069999999999997,16.15,3.979999999999999,1.8999999999999968,0.0402222222222221,0.1749999999999998,0.7450000000000001,0.6102222222222224,20.5,32.904444444444444,15.466666666666669,7
17,17.51088888888889,18.14,2.370000000000001,1.7408888888888896,0.0261666666666666,0.1900000000000004,0.1599999999999992,-0.0038333333333344,2228.4546666666665,2259.99,70.94999999999982,39.41466666666656,0.7453333333333351,18.14500000000021,15.125000000000227,-2.274666666666646,9.307666666666664,9.45,0.0,-0.1423333333333349,-0.0029999999999999,0.0449999999999999,0.2749999999999984,0.2269999999999986,12.915444444444445,13.17,0.0,-0.2545555555555552,-0.0047222222222222,0.2149999999999998,0.7650000000000006,0.5452777777777785,16.4,32.83333333333333,15.688888888888888,6
18,16.360777777777777,17.14,2.6900000000000013,1.9107777777777777,0.0298333333333333,0.1950000000000002,0.2149999999999997,0.0498333333333328,2065.605444444445,2119.5,72.83999999999992,18.94544444444477,0.5126666666666678,13.3900000000001,42.83000000000016,29.95266666666672,8.877888888888888,9.06,0.0700000000000002,-0.1121111111111119,-5.555555555557195e-05,0.08,0.3100000000000004,0.2299444444444448,12.352555555555552,12.62,0.1099999999999994,-0.1574444444444473,-0.0021111111111111,0.0999999999999996,0.7799999999999994,0.6778888888888885,16.4,32.85681818181818,14.772727272727272,6
19,18.80188888888889,22.2,7.35,3.95188888888889,0.0831666666666666,0.2350000000000003,0.1550000000000003,0.0031666666666666,2165.2472222222223,2281.47,166.69999999999982,50.47722222222228,1.933277777777774,14.465000000000146,13.575000000000273,1.0432777777779014,9.14922222222222,9.44,0.2299999999999986,-0.0607777777777798,0.001611111111111,0.0449999999999999,0.2350000000000011,0.1916111111111123,12.782666666666668,13.2,0.3899999999999988,-0.0273333333333329,0.0016666666666666,0.0949999999999997,0.6049999999999995,0.5116666666666664,16.4,32.93488372093023,14.069767441860463,7
20,15.471555555555556,16.28,0.0,-0.8084444444444454,-0.0136111111111111,0.1100000000000003,0.3100000000000031,0.1863888888888916,2056.7743333333333,2212.09,0.0,-155.31566666666686,-1.9828888888888905,9.190000000000056,38.88000000000011,27.70711111111116,8.834222222222222,9.49,0.0,-0.6557777777777787,-0.0095,0.0450000000000008,0.3050000000000006,0.2504999999999998,12.264444444444448,13.16,0.0,-0.8955555555555534,-0.0123333333333333,0.0600000000000005,0.3500000000000014,0.2776666666666675,15.4,32.99545454545454,13.409090909090908,1
21,15.592999999999998,15.75,1.0999999999999996,0.9429999999999978,0.0119444444444444,0.125,0.1349999999999997,0.0219444444444441,2083.177888888889,2108.17,6.2400000000002365,-18.75211111111093,0.0189444444444486,8.279999999999973,20.72999999999979,12.468944444444269,8.927888888888889,9.18,0.0,-0.2521111111111107,-0.0034999999999999,0.04,0.249999999999999,0.206499999999999,12.411555555555555,12.83,0.0,-0.418444444444443,-0.0076666666666666,0.0599999999999996,0.669999999999999,0.6023333333333328,16.0,33.07727272727273,14.295454545454543,1
22,17.389777777777777,19.59,5.529999999999999,3.3297777777777764,0.0616666666666666,0.200000000000001,0.1800000000000015,0.0416666666666671,2086.9884444444447,2165.19,108.26000000000022,30.05844444444483,1.1051666666666655,12.559999999999944,30.90999999999985,19.45516666666657,8.935666666666666,9.17,0.1400000000000005,-0.0943333333333331,0.0002222222222222,0.0600000000000005,0.2799999999999993,0.220222222222221,12.361777777777776,12.72,0.08,-0.2782222222222241,-0.0033888888888889,0.1500000000000003,1.0100000000000016,0.8566111111111123,16.2,33.141111111111115,14.566666666666666,7
23,16.233555555555554,16.94,2.2300000000000004,1.5235555555555536,0.024611111111111,0.205,0.2350000000000011,0.0546111111111121,2076.410222222222,2134.4,59.86000000000013,1.8702222222218552,0.5014444444444431,9.36999999999989,28.86999999999989,20.00144444444444,8.900333333333332,9.09,0.129999999999999,-0.0596666666666685,-0.0002777777777777,0.04,0.240000000000001,0.1997222222222232,12.420222222222224,12.72,0.1300000000000007,-0.1697777777777762,-0.0029444444444444,0.125,0.8249999999999993,0.6970555555555549,16.5,33.05227272727273,14.659090909090908,6
24,16.023777777777777,16.24,1.089999999999998,0.8737777777777769,0.0082222222222222,0.2249999999999996,0.2249999999999996,0.0082222222222222,2089.456777777777,2119.74,25.90999999999985,-4.373222222222466,-0.1095555555555569,11.045000000000073,19.27500000000009,8.12044444444446,8.946333333333333,9.09,0.0,-0.1436666666666664,-0.0021666666666666,0.0449999999999999,0.205,0.1578333333333334,12.499888888888888,12.82,0.0,-0.3201111111111121,-0.0065555555555555,0.1149999999999993,0.7249999999999988,0.6034444444444439,17.4,33.16666666666667,14.452380952380953,1
