,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM],temperatura,humedad,dx(ALCOHOL_s1[PPM]),dx(MONOXIDO DE CARBONO_S1[PPM]),dx(DIHIDROGENO_s1[PPM]),dx(ACETONA_s1[PPM]),dx(METANO_s1[PPM]),dx(ALCOHOL_s2[PPM]),dx(MONOXIDO DE CARBONO_S2[PPM]),dx(DIHIDROGENO_s2[PPM]),dx(ACETONA_s2[PPM]),dx(METANO_s2[PPM]),dx(temperatura),dx(humedad)
0,9.89,3.28,3001.27,93.91,1936.44,8.77,12.47,654.31,54.25,111.38,34.8,15.0,0.02999999999999936,0.010000000000000231,-1077.7,0.020000000000010232,-6.980000000000018,-0.16999999999999993,-0.5899999999999999,-60.479999999999905,-2.3100000000000023,-4.420000000000002,0.0,0.0
1,9.92,3.29,1923.57,93.93,1929.46,8.6,11.88,593.83,51.94,106.96,34.8,15.0,0.0649999999999995,0.0050000000000001155,-574.205,0.15500000000000114,-6.404999999999973,-0.08999999999999986,-0.1850000000000005,-29.099999999999966,-1.3850000000000016,-2.1699999999999946,0.0,0.0
2,10.02,3.29,1852.86,94.22,1923.63,8.59,12.1,596.11,51.48,107.04,34.8,15.0,0.09999999999999964,0.004999999999999893,-16.620000000000005,0.509999999999998,-4.875,-0.009999999999999787,0.11499999999999932,1.259999999999991,-0.125,-0.07499999999999574,0.0,0.0
3,10.12,3.3,1890.33,94.95,1919.71,8.58,12.11,596.35,51.69,106.81,34.8,15.0,0.07500000000000018,0.0,-6.9849999999999,0.6300000000000026,-7.840000000000032,-0.01499999999999968,-0.019999999999999574,-3.170000000000016,0.060000000000002274,-0.15000000000000568,0.0,0.0
4,10.17,3.29,1838.89,95.48,1907.95,8.56,12.06,589.77,51.6,106.74,34.8,15.0,0.03000000000000025,-0.014999999999999902,24.889999999999986,-0.2700000000000031,-16.659999999999968,-0.03500000000000014,-0.08499999999999996,-3.980000000000018,-0.5799999999999983,0.0049999999999954525,0.0,0.0
5,10.18,3.27,1940.11,94.41,1886.39,8.51,11.94,588.39,50.53,106.82,34.8,15.0,0.054999999999999716,-0.010000000000000009,42.65999999999997,-0.6350000000000051,-11.050000000000068,-0.025000000000000355,-0.015000000000000568,-1.6549999999999727,-0.4499999999999993,0.24500000000000455,0.0,0.0
6,10.28,3.27,1924.21,94.21,1885.85,8.51,12.03,586.46,50.7,107.23,34.8,15.0,0.09499999999999975,0.004999999999999893,5.0150000000001,1.1649999999999991,1.5249999999999773,0.01499999999999968,0.08000000000000007,1.285000000000025,0.48499999999999943,0.9000000000000057,0.0,0.0
7,10.37,3.28,1950.14,96.74,1889.44,8.54,12.1,590.96,51.5,108.62,34.8,15.0,0.08000000000000007,0.010000000000000009,-17.460000000000036,2.3200000000000003,5.060000000000059,-0.009999999999999787,-0.009999999999999787,5.214999999999975,0.7099999999999973,1.5700000000000003,0.0,0.0
8,10.44,3.29,1889.29,98.85,1895.97,8.49,12.01,596.89,52.12,110.37,34.8,15.0,0.015000000000000568,-0.004999999999999893,21.04499999999996,-0.015000000000000568,-10.394999999999982,-0.019999999999999574,-0.04499999999999993,-3.805000000000007,-0.09499999999999886,0.16499999999999915,0.0,0.0
9,10.4,3.27,1992.23,96.71,1868.65,8.5,12.01,583.35,51.31,108.95,34.8,15.0,-0.019999999999999574,-0.0050000000000001155,30.200000000000045,-0.04999999999999716,-16.69500000000005,-0.020000000000000462,-0.024999999999999467,-7.019999999999982,-0.36999999999999744,-0.09499999999999886,0.0,0.0
10,10.4,3.28,1949.69,98.75,1862.58,8.45,11.96,582.85,51.38,110.18,34.8,15.0,0.019999999999999574,0.004999999999999893,-9.879999999999995,1.4100000000000037,-3.3700000000000045,-0.03000000000000025,-0.04999999999999982,1.9850000000000136,0.19500000000000028,0.865000000000002,0.0,0.0
11,10.44,3.28,1972.47,99.53,1861.91,8.44,11.91,587.32,51.7,110.68,34.8,15.0,0.01499999999999968,0.0050000000000001155,-9.629999999999995,0.759999999999998,-0.45499999999992724,0.015000000000000568,0.04499999999999993,1.1649999999999636,0.019999999999999574,0.6299999999999955,0.0,0.0
