,ALCOHOL_s1[PPM],MONOXIDO DE CARBONO_S1[PPM],DIHIDROGENO_s1[PPM],ACETONA_s1[PPM],METANO_s1[PPM],ALCOHOL_s2[PPM],MONOXIDO DE CARBONO_S2[PPM],DIHIDROGENO_s2[PPM],ACETONA_s2[PPM],METANO_s2[PPM]
30,10.11,17.48,16554.0,1144.33,1449.4700000000003,10.43,7.64,13020.41,467.47,975.32
31,10.84,17.81,17610.84,1178.01,1529.7000000000003,10.94,2.45,13586.87,484.12,1020.91
32,12.780000000000001,17.87,17661.27,1197.02,1540.2200000000003,10.87,2.14,13782.74,488.48,1074.82
33,15.080000000000002,18.0,17657.45,1243.66,1527.0,10.8,2.09,13851.58,495.46,1081.91
34,17.810000000000002,18.11,17648.33,1266.92,1517.2600000000002,10.71,2.26,13935.08,509.88,1108.21
35,20.33,18.21,17425.12,1286.59,1498.0500000000002,10.76,2.34,13983.88,515.02,1135.83
36,22.39,18.27,17251.44,1307.19,1488.96,10.83,2.27,14032.1,516.16,1157.55
37,24.130000000000003,18.31,17429.24,1323.7,1477.71,10.61,2.34,14097.59,517.84,1180.6
38,25.64,18.42,17627.74,1343.72,1479.0100000000002,10.62,2.19,14513.04,524.65,1210.14
39,26.980000000000004,18.4,17573.4,1353.36,1459.48,10.7,2.25,14360.4,526.87,1228.91
40,27.89,18.28,17209.45,1354.03,1441.69,10.61,2.1,14127.98,524.68,1245.21
41,28.5,18.08,16747.56,1333.37,1384.69,10.43,2.22,13817.21,514.58,1249.1
42,29.07,17.93,16328.34,1317.94,1337.1200000000003,10.52,2.24,13468.15,507.33,1252.66
43,29.75,17.94,16402.76,1327.94,1331.27,10.46,2.24,13593.29,512.11,1275.55
44,31.020000000000003,18.12,17051.89,1379.64,1404.17,10.41,2.16,14302.58,527.22,1331.72
45,31.619999999999997,18.12,17099.5,1389.21,1398.13,10.6,1.9,14268.86,528.07,1353.35
46,31.93,18.1,16990.7,1399.62,1393.3700000000003,10.58,2.36,14231.35,529.25,1375.4
47,32.35,18.06,16857.72,1400.19,1384.23,10.56,2.11,14168.2,528.23,1393.31
48,32.76,18.04,16881.43,1408.07,1376.2600000000002,10.58,2.09,14171.03,529.18,1416.96
49,33.21,18.1,17093.76,1426.25,1383.52,10.81,1.69,14330.9,536.01,1442.51
50,33.71,18.1,17102.32,1437.31,1383.5800000000004,10.63,2.13,14471.5,540.86,1467.99
51,34.0,18.08,17038.24,1450.75,1382.63,10.62,1.96,14485.99,543.15,1495.8
52,34.15,18.13,17300.0,1460.47,1382.77,10.76,2.22,14591.84,547.37,1522.79
53,34.43,18.17,17278.78,1481.06,1382.4900000000002,10.79,2.01,14720.53,554.2,1549.4
54,34.74,18.24,17390.42,1496.68,1389.2600000000002,10.56,2.11,14955.54,558.07,1576.39
55,35.07,18.28,17354.63,1512.11,1389.94,10.36,2.23,14951.4,561.17,1606.7
56,35.37,18.39,17638.86,1531.2,1397.5,10.52,2.0,15207.83,567.53,1634.84
57,35.62,18.41,17678.63,1547.96,1401.8500000000004,10.79,2.31,15336.83,569.6,1663.39
58,35.92,18.46,17598.74,1567.25,1411.0500000000002,10.86,2.12,15403.66,576.33,1693.55
59,36.230000000000004,18.59,17897.36,1590.41,1427.1000000000004,10.66,2.02,15509.77,593.22,1727.79
